global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	aroma_motion_01	aroma_motion_02	aroma_motion_03	aroma_motion_05	aroma_motion_07	aroma_motion_09	aroma_motion_14	aroma_motion_16	aroma_motion_18	aroma_motion_35	aroma_motion_38	aroma_motion_45	aroma_motion_47	aroma_motion_50	aroma_motion_55	aroma_motion_56
4317.444736076137	n/a	n/a	18640329.049071547	4115.602260741269	n/a	n/a	16938181.968618646	4923.67053221155	n/a	n/a	24242531.50976837	4845.993629114768	3543.8096477789677	n/a	n/a	n/a	n/a	-0.0048587798	0.0213009325	0.0490286024	0.0307950989	0.0213291283	-0.0380685938	0.026720210299999998	-0.076815345	0.0472372496	-0.0690686727	0.07176727299999999	-0.025827074199999998	0.0451722756	-0.0370205029	0.024078639	-0.0813718909	0.0669793063	-0.028233505699999998	0.0300538165	-0.0818021635	0.07544725349999999	-0.020958064	0.0894409536	0.08943565710000001	0.08942682980000001	0.0894144721	0.08939858449999999	0.0893791676	-0.00859531	n/a	7.38793539961e-05	n/a	0.0185635	n/a	0.00034460353225	n/a	0.0219796	n/a	n/a	0.00048310281616	0.00155595	n/a	n/a	2.4209804025e-06	-0.000339169	n/a	1.1503561056099999e-07	n/a	0.000473902	n/a	2.2458310560399995e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4710465682	2.646844583	0.09154877361	-0.5610399766	-0.08052933009	0.6820395148	-0.7728483247	-0.6198712195	0.3653762667	-1.085937815	1.146071339	-2.83958278	-1.352988001	-0.1241929721	1.261747447	3.026421632
4316.789965856552	-0.6547702195848615	0.4287240404552077	18634675.609319814	4117.9585189185245	2.3562581772557682	5.551952597884673	16957582.36353365	4920.759605294752	-2.9109269167984166	8.473495514941536	24213875.093100566	4842.384330277772	3585.974034783741	1.045316	9.888209	0.05509929	0.0281164	-0.0103027578	-0.008938630999999999	0.1244669709	-0.0236356975	-0.022337665	-0.0243206181	0.0726584609	-0.0355437089	0.058125705	-0.030221812200000007	-0.0543306833	-0.061585372699999995	0.0756049258	-0.0226576383	0.0677121507	-0.027841987599999996	-0.0023433206	-0.09173675369999999	0.0188130448	-0.0791220712	0.0126501197	0.07733044809999999	0.08942682980000001	0.0893791676	0.08929974939999999	0.0891886034	0.0890457691	0.0888712973	-0.0127587	-0.00416339	0.00016278442568999998	1.7333816292099993e-05	0.0363074	0.017743900000000003	0.0013182272947600002	0.0003148459872100001	0.0098605	-0.012119099999999996	0.00014687258480999995	9.722946025000002e-05	0.00155595	0.0	0.0	2.4209804025e-06	-0.0	0.000339169	0.0	1.1503561056099999e-07	0.000391613	-8.228899999999993e-05	1.5336074176900002e-07	6.771479520999989e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.283599263	2.488103758	0.2536266598	-0.7197108774	0.2710574033	0.3341067781	-0.4890942507	-0.6092777823	-0.2539946108	-2.06308763	0.09788327809	-2.5254824	-1.614800265	-0.07406593671	0.5364832386	3.281553377
4314.345496690834	-2.4444691657181465	5.975429502146771	18613577.06481648	4116.563627314995	-1.394891603529686	1.945722585597619	16946096.097732786	4923.682283473136	2.9226781783836486	8.542047734399963	24242647.228587236	4845.1787823796785	3549.666484520783	1.230648	11.641371	0.053948300000000005	0.02589	-0.0041479926	-0.0513729831	-0.09422420880000001	0.0184184973	-0.0791149342	-0.0417570357	0.0406606631	-0.0722421918	-0.10436106960000001	0.0196274411	-0.0205898617	-0.103286741	0.0514149337	-0.042239653200000005	0.0384032912	-0.045286088499999995	-0.10328451050000001	0.0582396565	0.0223386946	-0.09273808289999999	-0.0363562313	0.07896627269999999	0.08939858449999999	0.0892662243	0.0890457691	0.0887374365	0.0883415308	0.0878584426	-0.0109958	0.0017628999999999995	0.00012090761764	3.107816409999998e-06	0.0525419	0.016234499999999992	0.00276065125561	0.00026355899024999973	0.00239025	-0.007470250000000001	5.580463506250003e-05	5.7132950625e-06	0.001262	-0.00029395000000000007	8.640660250000004e-08	1.5926439999999995e-06	-0.00016533299999999998	-0.00016533299999999998	2.7335000888999998e-08	2.7335000888999998e-08	0.000501943	0.00011033	2.5194677524900003e-07	1.21727089e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3311540496	2.717262367	0.06664950161	-0.5891104554	0.2139832536	0.8108692562	-0.4064009877	-0.1941735237	-0.9420837716	-1.920733331	-1.291842147	-1.224834133	-3.080152305	-0.9391867466	0.06042618593	2.371411036
4314.554335459582	0.20883876874813725	0.04361363133223794	18615379.113633074	4136.467721145209	19.904093830214148	396.17295120196906	17110365.20807624	4923.2040668787295	-0.478216594406149	0.2286911111654152	24237938.284131266	4845.243126040357	3527.372014939189	1.262803	11.945542	0.0851837827	0.0481495	-0.0066140954000000005	0.0102822841	-0.10112596509999999	0.0665974528	0.010174876800000001	-0.0361090313	0.011065738799999999	-0.0678710025	-0.048576727699999996	0.015295750700000001	0.0456562233	-0.0782988984	0.0536599975	-0.0348385663	0.0030200991999999997	-0.0717322782	0.0194875644	0.0786023258	0.0243566012	-0.0511169175	-0.0687427366	0.0631618947	0.08935622210000001	0.08909689859999999	0.08866525	0.08806211119999999	0.08728864880000001	0.08634635869999999	-1.14073e-05	0.0109843927	1.3012649329e-10	0.00012065688298781328	0.007806129999999999	-0.04473577	6.0935665576899976e-05	0.0020012891174929	0.007239019999999999	0.00484877	2.351057051289999e-05	5.240341056039998e-05	0.0010593000000000002	-0.0002026999999999997	4.108728999999986e-08	1.1221164900000003e-06	-5.29396e-23	0.00016533299999999998	2.80260124816e-45	2.7335000888999998e-08	0.000377679	-0.00012426400000000002	1.4264142704100002e-07	1.5441541696000004e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3322904743	2.846174025	0.02375445992	-0.4602763456	-0.147980517	1.007401302	-0.9115948586	0.5428500906	-0.4370505406	-0.3635912493	0.08647087284	-1.142449157	-2.196171718	1.14387009	-0.2214246769	2.563416128
4306.32222280985	-8.23211264973179	67.76767867787413	18544411.08666597	4149.154119631888	12.686398486678627	160.94470656280174	17215479.908458266	4919.4924607826315	-3.711606096097967	13.776019812591588	24201406.07169715	4841.532295674282	3516.779650819649	1.147477	10.854612	0.049201231099999986	0.0300866	0.0113618169	-0.0325411956	0.040061801	-0.05675208530000001	0.0338731023	-0.0174161779	0.046935060099999995	-0.0795616754	0.0675069551	-0.0044558025	0.0702703008	-0.1264646117	0.0816883893	-0.0151442318	0.0492070732	-0.08084629780000001	0.0756697463	-0.0217489566	0.0089879068	-0.1459230034	0.0485050899	0.08614911900000001	0.08929974939999999	0.0888712973	0.08815873269999999	0.08716433330000001	0.08589127839999999	0.0843436376	-3.4428400000000004e-05	-2.30211e-05	1.1853147265600006e-09	5.299710452100003e-10	-0.0091054	-0.016911529999999998	8.290830916e-05	0.00028599984694089984	0.0309457	0.02370668	0.0005620066766224	0.00095763634849	0.00107293	1.3629999999999719e-05	1.8577689999999232e-10	1.1511787848999998e-06	-1.16064e-22	-6.31244e-23	1.3470852095999995e-44	3.984689875359999e-45	0.000535249	0.00015757	2.86491492001e-07	2.48283049e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.1472521861	2.413593764	0.1768026617	-0.3094095362	-0.8713252239	1.167740896	-0.897607602	0.3710874825	-0.1540008293	-0.5388300218	1.796582956	-2.617784099	-0.8478085748	0.3960636768	0.8590554462	2.835136519
4295.437550185358	-10.88467262449194	118.47609814236428	18450783.747542392	4118.853698464801	-30.300421167086824	918.1155229028433	16964955.789357167	4910.635993024692	-8.856467757939754	78.4370211474264	24114345.8559896	4834.593558330873	3463.219185105413	1.1488459999999998	10.867564	0.04764678379999999	0.0324471	0.0374812198	-0.0206792297	0.0193116823	-0.09600625900000001	0.0393484529	0.025208310699999997	0.1056745029	-0.014835530100000001	0.1167628284	-0.0423904073	0.0093962697	0.0435475552	0.0868608543	0.0256417796	0.09891911949999999	-0.025719309300000003	0.07335509650000001	-0.0814340185	-0.0166836654	0.0322506852	0.1108538394	0.0626565724	0.0892291752	0.0885895631	0.08752693689999999	0.0860463708	0.0841549343	0.0818616591	-1.55446e-05	1.8883800000000007e-05	2.4163458916e-10	3.5659790244000015e-10	-0.00911325	-7.850000000000218e-06	8.30513255625e-05	6.162250000000342e-11	0.022749400000000003	-0.008196299999999997	6.717933368999995e-05	0.0005175352003600001	0.000970261	-0.00010266899999999991	1.0540923560999978e-08	9.414064081209999e-07	-0.000610722	-0.000610722	3.72981361284e-07	3.72981361284e-07	0.000460165	-7.5084e-05	2.11751827225e-07	5.637607056e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.05878934147	2.118437374	-0.1383876768	-0.4946738069	-1.487047166	0.8210384789	-1.056049253	-0.2728998345	-0.338913985	-1.707947602	0.6882006445	-1.398817381	-1.898003946	-0.3060189859	0.7292263718	2.831634522
4284.639398586266	-10.798151599092307	116.60007795697977	18358134.77591768	4126.469343310886	7.615644846085161	57.99804642170347	17027749.241284575	4906.152587968441	-4.483405056250376	20.10092089841144	24070333.216429435	4828.738804109688	3420.1030654164647	1.201145	11.362281	0.0236175854	0.0132151	0.0577914121	-0.0588479351	-0.0314154606	-0.0605826897	-0.0209462672	0.046002102	0.042659554100000004	0.0061882174	-0.08602094099999999	0.0027840049	-0.0506532737	0.1123087468	-0.047110027	0.046078876799999995	0.06193686530000001	0.025149274300000003	-0.09327173779999999	0.0404479331	0.0508215426	0.0999921551	0.021672600099999998	-0.0488997288	0.0891445106	0.0882518737	0.0867707607	0.0847110477	0.0820864692	0.0789145263	-0.0100294	-0.0100138554	0.00010058886435999998	0.00010027729997210914	-0.00911297	2.8000000000007186e-07	8.30462222209e-05	7.840000000004024e-14	0.0309431	0.008193699999999995	6.713671968999991e-05	0.0009574754376099998	0.00102219	5.1929000000000044e-05	2.696621041000004e-09	1.0448723961000005e-06	-0.0005798919999999999	3.083000000000003e-05	3.362747316639999e-07	9.504889000000016e-10	0.000434729	-2.543599999999999e-05	1.8898930344100001e-07	6.469900959999996e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.07499333966	1.983737799	-0.1931312431	-0.3123521979	-1.686617616	0.899912997	-1.002178869	-0.7587889329	-1.232336462	-0.009839014756	-0.09849465583	-1.743336382	-2.459858346	-1.705928218	0.05594015377	-1.051665605
4300.521937753937	15.882539167670984	252.2550504126029	18494488.93710288	4132.493190146774	6.023846835888435	36.28673070224311	17077499.966609467	4913.421838716463	7.269250748021477	52.84200643761082	24141714.165175866	4838.696850433717	3385.826754578352	1.401965	13.261956	0.05035498000000002	0.0239147	0.048454610499999995	0.054386503899999994	-0.0245709749	0.0010784377	-0.0083885938	0.020243284099999998	-0.0344333582	-0.0413317453	0.0195272989	0.0100981997	0.07349063139999999	0.0022755388	0.0246858703	0.0201304538	-0.034526200099999994	-0.058317014699999996	0.0381969224	0.0159423785	-0.038008388	-0.0348957254	0.0631444673	-0.0576971435	0.0890457691	0.0878584426	0.08589127839999999	0.0831617371	0.0796940463	0.0755189855	-0.0165667	-0.006537300000000001	0.00027445554888999997	4.273629129000001e-05	-0.025051	-0.01593803	0.0006275526010000001	0.0002540208002809	0.0309126	-3.049999999999928e-05	9.30249999999956e-10	0.00095558883876	0.000736752	-0.00028543800000000005	8.147485184400004e-08	5.42803509504e-07	-0.000419628	0.00016026399999999991	1.7608765838400004e-07	2.568454969599997e-08	0.000323448	-0.00011128100000000002	1.04618608704e-07	1.2383460961000005e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.171306413	2.123547685	-0.4972288275	-0.09930009996	-1.919908768	0.7296543514	-1.214121216	-0.8545643136	-1.134729692	-0.6059899982	0.1454866331	-2.195761389	-1.01240506	0.7165839816	-0.3393299321	0.1552841378
4316.273152058281	15.751214304344106	248.10075206137432	18630213.92317913	4122.656143191864	-9.837046954909962	96.76749279310341	16996293.67499762	4919.922676461062	6.500837744599266	42.26089138160648	24205639.14235578	4844.250815337916	3516.6174356080096	1.4079780000000002	13.318832999999998	0.0404475	0.0248695	0.0219487673	0.0155555749	0.056199125700000005	-0.018754695	0.029903043100000002	-0.0100441492	-0.024507705499999997	-0.0479622809	0.0791022383	0.052181894900000005	-0.0622513674	0.0193492201	0.0241581382	-0.0097198161	-0.023566004300000002	-0.06714890150000001	0.0186617154	-0.060002512599999995	-0.0521205034	0.067173187	-0.0519481942	0.045641433499999995	0.08893296630000001	0.0874095183	0.0848897399	0.0814023527	0.07698710730000001	0.0716943307	-0.016397	0.0001697000000000018	0.000268861609	2.879809000000061e-08	-0.0159992	0.0090518	0.00025597440064000003	8.193508323999997e-05	0.0100842	-0.0208284	0.00043382224655999984	0.00010169108964000004	0.000925198	0.000188446	3.5511894916000004e-08	8.55991339204e-07	-0.000419628	0.0	1.7608765838400004e-07	0.0	0.000342954	1.9506000000000023e-05	1.1761744611600001e-07	3.80484036000001e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.3222601522	1.720492796	-0.1810110713	-0.06781925362	-1.799813343	1.264442777	-0.448527923	-0.4933945503	-0.8933637039	-1.693644722	0.3067498068	-0.7812071923	-1.860937299	0.3123266764	0.8694889611	1.405930147
4310.171381313059	-6.101770745221983	37.23160622724684	18577577.336290125	4135.820742951875	13.164599760010786	173.3066868412761	17105013.217831	4928.723375519945	8.800699058882856	77.45230392502158	24292314.11239672	4850.7069752262405	3491.2782101657986	1.261064	11.929091	0.03748057	0.020503200000000003	0.0181997694	-0.0589339977	-0.0732755034	0.0925261944	-0.0808012362	-0.0583288412	-0.020623785800000002	-0.093285135	-0.1010631685	0.0519729725	-0.0287961788	-0.007122438100000001	-0.055467595599999996	-0.06033917480000001	-0.019933566200000002	-0.0739744261	-0.11401947289999999	0.0641348563	-0.0018467422	0.0125813639	-0.08281398200000001	-0.0453188212	0.08880611990000001	0.0869053842	0.08376756839999999	0.0794373389	0.0739763355	0.0674622944	-0.012127	0.00427	0.00014706412899999995	1.82329e-05	-0.00912085	0.006878350000000003	8.31899047225e-05	4.731169872250002e-05	0.00198363	-0.008100570000000001	6.561923432490003e-05	3.9347879769e-06	0.000903519	-2.1679000000000034e-05	4.699790410000015e-10	8.16346583361e-07	-0.000419628	0.0	1.7608765838400004e-07	0.0	0.0	-0.000342954	0.0	1.1761744611600001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.4197231427	2.254327727	0.03367625651	0.08437340331	-1.627035806	1.87596972	0.2201207925	-0.4501437142	-0.5491420578	-0.4088080444	-1.328035573	-0.6867365101	-2.115326597	-1.045863799	1.130341335	-0.2523491634
